id,tokens,ner_tags
17,"[""The"", ""APT"", ""actor"", "","", ""active"", ""since"", ""2008"", "","", ""has"", ""been"", ""seen"", ""targeting"", ""organizations"", ""in"", ""the"", ""financial"", ""services"", "","", ""telecoms"", "","", ""government"", "","", ""and"", ""defense"", ""sectors"", "".""]","[26, 0, 1, 26, 26, 26, 10, 26, 26, 26, 26, 26, 26, 26, 26, 16, 17, 26, 16, 26, 16, 26, 26, 18, 19, 26]"
18,"[""In"", ""August"", ""2013"", "","", ""FireEye"", ""reported"", ""that"", ""admin@338"", ""had"", ""been"", ""using"", ""the"", ""Poison"", ""Ivy"", ""RAT"", ""in"", ""its"", ""operations"", "".""]","[26, 10, 11, 26, 6, 26, 26, 0, 26, 26, 26, 26, 8, 9, 9, 26, 26, 26, 26]"
19,"[""In"", ""March"", ""2014"", "","", ""the"", ""admin@338"", ""leveraged"", ""the"", ""disappearance"", ""of"", ""Malaysia"", ""Airlines"", ""Flight"", ""MH370"", ""to"", ""target"", ""a"", ""government"", ""in"", ""the"", ""Asia-Pacific"", ""region"", ""and"", ""a"", ""US-based"", ""think"", ""tank"", "".""]","[26, 10, 11, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 16, 26, 26, 14, 26, 26, 26, 14, 18, 19, 26]"
20,"[""In"", ""March"", ""2014"", "","", ""the"", ""group"", ""leveraged"", ""the"", ""disappearance"", ""of"", ""Malaysia"", ""Airlines"", ""Flight"", ""MH370"", ""to"", ""target"", ""a"", ""government"", ""in"", ""the"", ""Asia-Pacific"", ""region"", ""and"", ""a"", ""US-based"", ""think"", ""tank"", "".""]","[26, 10, 11, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 16, 26, 26, 14, 26, 26, 26, 14, 18, 19, 26]"
21,"[""According"", ""to"", ""FireEye"", "","", ""the"", ""admin@338"", ""sent"", ""out"", ""emails"", ""containing"", ""malicious"", ""documents"", ""designed"", ""to"", ""exploit"", ""Microsoft"", ""Office"", ""vulnerabilities"", ""in"", ""an"", ""effort"", ""to"", ""deliver"", ""a"", ""piece"", ""of"", ""malware"", ""dubbed"", ""LOWBALL"", "".""]","[26, 26, 6, 26, 26, 0, 26, 26, 20, 26, 26, 26, 26, 26, 26, 22, 23, 23, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 8, 26]"
22,"[""According"", ""to"", ""FireEye"", "","", ""the"", ""attackers"", ""sent"", ""out"", ""emails"", ""containing"", ""malicious"", ""documents"", ""designed"", ""to"", ""exploit"", ""Microsoft"", ""Office"", ""vulnerabilities"", ""in"", ""an"", ""effort"", ""to"", ""deliver"", ""a"", ""piece"", ""of"", ""malware"", ""dubbed"", ""LOWBALL"", "".""]","[26, 26, 6, 26, 26, 0, 26, 26, 20, 26, 26, 26, 26, 26, 26, 22, 23, 23, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 8, 26]"
23,"[""The"", ""admin@338"", ""'s"", ""Dropbox"", ""accounts"", ""have"", ""also"", ""been"", ""found"", ""to"", ""contain"", ""a"", ""different"", ""backdoor"", ""dubbed"", ""BUBBLEWRAP"", "".""]","[26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 8, 26]"
24,"[""Researchers"", ""have"", ""pointed"", ""out"", ""that"", ""it"", ""is"", ""not"", ""uncommon"", ""for"", ""China-based"", ""threat"", ""groups"", ""to"", ""target"", ""Hong"", ""Kong"", ""media"", ""organizations"", "","", ""particularly"", ""ones"", ""whose"", ""reporting"", ""focuses"", ""on"", ""the"", ""pro-democracy"", ""movement"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 14, 0, 1, 26, 26, 14, 15, 18, 19, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
25,"[""Researchers"", ""have"", ""pointed"", ""out"", ""that"", ""it"", ""is"", ""not"", ""uncommon"", ""for"", ""admin@338"", ""to"", ""target"", ""Hong"", ""Kong"", ""media"", ""organizations"", "","", ""particularly"", ""ones"", ""whose"", ""reporting"", ""focuses"", ""on"", ""the"", ""pro-democracy"", ""movement"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 14, 15, 18, 19, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
26,"[""This"", ""week"", ""the"", ""experts"", ""at"", ""FireEye"", ""discovered"", ""that"", ""a"", ""group"", ""of"", ""Chinese-based"", ""hackers"", ""called"", ""admin@338"", ""had"", ""sent"", ""multiple"", ""MH370-themed"", ""spear"", ""phishing"", ""emails"", "","", ""the"", ""attackers"", ""targeted"", ""government"", ""officials"", ""in"", ""Asia-Pacific"", "","", ""it"", ""is"", ""likely"", ""for"", ""cyber"", ""espionage"", ""purpose"", "".""]","[26, 26, 26, 26, 26, 6, 26, 26, 26, 0, 26, 14, 0, 26, 0, 26, 26, 26, 26, 20, 21, 21, 26, 26, 0, 26, 18, 19, 26, 14, 26, 26, 26, 26, 26, 0, 1, 26, 26]"
27,"[""The"", ""attackers"", ""used"", ""the"", ""popular"", ""Poison"", ""Ivy"", ""RAT"", ""and"", ""WinHTTPHelper"", ""malware"", ""to"", ""compromise"", ""the"", ""computers"", ""of"", ""government"", ""officials"", "".""]","[26, 0, 26, 26, 26, 8, 9, 9, 26, 8, 9, 26, 26, 26, 26, 26, 18, 19, 26]"
28,"[""The"", ""admin@338"", ""used"", ""the"", ""popular"", ""Poison"", ""Ivy"", ""RAT"", ""and"", ""WinHTTPHelper"", ""malware"", ""to"", ""compromise"", ""the"", ""computers"", ""of"", ""government"", ""officials"", "".""]","[26, 0, 26, 26, 26, 8, 9, 9, 26, 8, 9, 26, 26, 26, 26, 26, 18, 19, 26]"
29,"[""FireEye"", ""analysts"", ""documented"", ""the"", ""admin@338"", ""group"", ""'s"", ""activities"", ""in"", ""a"", ""previous"", ""paper"", ""titled"", ""Poison"", ""Ivy"", "":"", ""Assessing"", ""Damage"", ""and"", ""Extracting"", ""Intelligence"", ""paper"", "".""]","[6, 26, 26, 26, 0, 1, 26, 2, 26, 26, 26, 26, 26, 8, 9, 26, 26, 26, 26, 26, 26, 26, 26]"
30,"[""The"", ""spear-phishing"", ""campaign"", ""against"", ""Asian"", ""entities"", ""isn't"", ""isolated"", "","", ""the"", ""admin@338"", ""also"", ""started"", ""another"", ""attack"", ""against"", ""the"", ""US-based"", ""think"", ""tank"", ""on"", ""14th"", ""March"", "".""]","[26, 2, 3, 26, 14, 26, 26, 26, 26, 26, 0, 26, 26, 26, 2, 26, 26, 14, 18, 19, 26, 10, 11, 26]"
31,"[""Our"", ""analysis"", ""has"", ""led"", ""us"", ""to"", ""conclude"", ""that"", ""APT1"", ""is"", ""likely"", ""government-sponsored"", ""and"", ""one"", ""of"", ""the"", ""most"", ""persistent"", ""of"", ""China"", ""'s"", ""cyber"", ""threat"", ""actors"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 14, 26, 0, 1, 1, 26]"
32,"[""FireEye"", ""said"", ""it"", ""has"", ""tracked"", ""admin@338"", ""'s"", ""activity"", ""since"", ""2013"", ""and"", ""the"", ""group"", ""has"", ""largely"", ""targeted"", ""organizations"", ""involved"", ""in"", ""financial"", "","", ""economic"", "","", ""and"", ""trade"", ""policy"", "".""]","[6, 26, 26, 26, 26, 0, 26, 2, 26, 10, 26, 26, 0, 26, 26, 26, 26, 26, 26, 16, 26, 16, 26, 26, 16, 17, 26]"
33,"[""The"", ""simplest"", ""conclusion"", ""based"", ""on"", ""these"", ""facts"", ""is"", ""that"", ""APT1"", ""is"", ""operating"", ""in"", ""China"", "","", ""and"", ""most"", ""likely"", ""in"", ""Shanghai"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 14, 26, 26, 26, 26, 26, 14, 26]"
34,"[""These"", ""data"", ""sets"", ""show"", ""that"", ""APT1"", ""is"", ""either"", ""operating"", ""in"", ""China"", ""during"", ""normal"", ""Chinese"", ""business"", ""hours"", ""or"", ""that"", ""APT1"", ""is"", ""intentionally"", ""going"", ""to"", ""painstaking"", ""lengths"", ""to"", ""look"", ""like"", ""they"", ""are"", "".""]","[26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 14, 26, 26, 14, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
35,"[""APT1"", ""has"", ""used"", ""and"", ""steadily"", ""modified"", ""BISCUIT"", ""since"", ""as"", ""early"", ""as"", ""2007"", ""and"", ""continues"", ""to"", ""use"", ""it"", ""presently"", "".""]","[0, 26, 26, 26, 26, 26, 8, 26, 26, 26, 26, 10, 26, 26, 26, 26, 26, 26, 26]"
36,"[""While"", ""APT1"", ""intruders"", ""occasionally"", ""use"", ""publicly"", ""available"", ""backdoors"", ""such"", ""as"", ""Poison"", ""Ivy"", ""and"", ""Gh0st"", ""RAT"", "".""]","[26, 0, 26, 26, 26, 8, 9, 9, 26, 26, 8, 9, 26, 8, 9, 26]"
37,"[""Given"", ""the"", ""mission"", "","", ""resourcing"", "","", ""and"", ""location"", ""of"", ""PLA"", ""Unit"", ""61398"", "","", ""we"", ""conclude"", ""that"", ""PLA"", ""Unit"", ""61398"", ""is"", ""APT1"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 1, 1, 26, 26, 26, 26, 0, 1, 1, 26, 0, 26]"
38,"[""APT1"", ""were"", ""a"", ""highly"", ""prolific"", ""cyber-attack"", ""group"", ""operating"", ""out"", ""of"", ""China"", "".""]","[0, 26, 26, 26, 26, 0, 1, 26, 26, 26, 14, 26]"
39,"[""APT1"", ""is"", ""a"", ""China-based"", ""cyber-espionage"", ""group"", "","", ""active"", ""since"", ""mid-2006"", "".""]","[0, 26, 26, 14, 0, 1, 26, 26, 26, 10, 26]"
40,"[""APT12"", ""'s"", ""targets"", ""are"", ""consistent"", ""with"", ""larger"", ""People"", ""'s"", ""Republic"", ""of"", ""China"", ""("", ""PRC"", "")"", ""goals"", "".""]","[0, 26, 26, 26, 26, 26, 26, 14, 15, 15, 15, 15, 26, 14, 26, 26, 26]"
41,"[""Since"", ""the"", ""release"", ""of"", ""the"", ""Arbor"", ""blog"", ""post"", "","", ""FireEye"", ""has"", ""observed"", ""APT12"", ""use"", ""a"", ""modified"", ""backdoor"", ""that"", ""we"", ""call"", ""HIGHTIDE"", "".""]","[26, 26, 26, 26, 26, 6, 26, 26, 26, 6, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 8, 26]"
42,"[""However"", "","", ""the"", ""malware"", ""shared"", ""several"", ""traits"", ""with"", ""the"", ""RIPTIDE"", ""and"", ""HIGHTIDE"", ""backdoor"", ""that"", ""we"", ""have"", ""attributed"", ""to"", ""APT12"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 8, 26, 8, 9, 26, 26, 26, 26, 26, 0, 26]"
43,"[""From"", ""October"", ""2012"", ""to"", ""May"", ""2014"", "","", ""FireEye"", ""observed"", ""APT12"", ""utilizing"", ""RIPTIDE"", "","", ""that"", ""communicates"", ""via"", ""HTTP"", ""to"", ""a"", ""hard-coded"", ""command"", ""and"", ""control"", ""("", ""C2"", "")"", ""server"", "".""]","[26, 10, 11, 26, 10, 11, 26, 6, 26, 0, 26, 8, 26, 26, 26, 26, 8, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
44,"[""Similar"", ""to"", ""RIPTIDE"", ""campaigns"", "","", ""APT12"", ""infects"", ""target"", ""systems"", ""with"", ""HIGHTIDE"", ""using"", ""a"", ""Microsoft"", ""Word"", ""("", "".doc"", "")"", ""document"", ""that"", ""exploits"", ""CVE-2012-0158"", "".""]","[26, 26, 2, 3, 26, 0, 26, 26, 26, 26, 8, 26, 26, 8, 9, 26, 8, 26, 26, 26, 26, 22, 26]"
45,"[""FireEye"", ""believes"", ""the"", ""change"", ""from"", ""RIPTIDE"", ""to"", ""HIGHTIDE"", ""represents"", ""a"", ""temporary"", ""tool"", ""shift"", ""to"", ""decrease"", ""malware"", ""detection"", ""while"", ""APT12"", ""developed"", ""a"", ""completely"", ""new"", ""malware"", ""toolset"", "".""]","[6, 26, 26, 26, 26, 8, 26, 8, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26]"
46,"[""They"", ""have"", ""largely"", ""targeted"", ""organizations"", ""involved"", ""in"", ""financial"", "","", ""economic"", ""and"", ""trade"", ""policy"", "","", ""typically"", ""using"", ""publicly"", ""available"", ""RATs"", ""such"", ""as"", ""Poison"", ""Ivy"", "","", ""as"", ""well"", ""some"", ""non-public"", ""backdoors"", "".""]","[26, 26, 26, 26, 26, 26, 26, 16, 26, 16, 26, 16, 17, 26, 26, 26, 8, 9, 9, 26, 26, 8, 9, 26, 26, 26, 26, 8, 9, 26]"
47,"[""A"", ""China-based"", ""cyber"", ""threat"", ""group"", "","", ""which"", ""FireEye"", ""tracks"", ""as"", ""an"", ""uncategorized"", ""advanced"", ""persistent"", ""threat"", ""("", ""APT"", "")"", ""group"", ""and"", ""other"", ""researchers"", ""refer"", ""to"", ""as"", ""admin@338"", "","", ""may"", ""have"", ""conducted"", ""the"", ""activity"", "".""]","[26, 14, 0, 1, 1, 26, 26, 6, 26, 26, 26, 26, 26, 26, 0, 26, 1, 26, 1, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 2, 26]"
48,"[""The"", ""group"", ""previous"", ""activities"", ""against"", ""financial"", ""and"", ""policy"", ""organizations"", ""have"", ""largely"", ""focused"", ""on"", ""spear"", ""phishing"", ""emails"", ""written"", ""in"", ""English"", "","", ""destined"", ""for"", ""Western"", ""audiences"", "".""]","[26, 0, 26, 2, 26, 16, 26, 18, 19, 26, 26, 26, 26, 20, 21, 21, 26, 26, 26, 26, 26, 26, 14, 18, 26]"
49,"[""About"", ""four"", ""months"", ""after"", ""The"", ""New"", ""York"", ""Times"", ""publicized"", ""an"", ""attack"", ""on"", ""its"", ""network"", "","", ""the"", ""APT12"", ""behind"", ""the"", ""intrusion"", ""deployed"", ""updated"", ""versions"", ""of"", ""their"", ""Backdoor.APT.Aumlib"", ""and"", ""Backdoor.APT.Ixeshe"", ""malware"", ""families"", "".""]","[26, 26, 26, 26, 18, 19, 19, 19, 26, 26, 2, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 8, 26, 8, 9, 9, 26]"
50,"[""With"", ""this"", ""in"", ""mind"", "","", ""this"", ""week"", ""we"", ""are"", ""providing"", ""some"", ""indicators"", ""for"", ""a"", ""China"", ""based"", ""adversary"", ""who"", ""we"", ""crypt"", ""as"", ""\"""", ""NUMBERED"", ""PANDA"", ""\"""", ""Numbered"", ""Panda"", ""has"", ""a"", ""long"", ""list"", ""of"", ""high-profile"", ""victims"", ""and"", ""is"", ""known"", ""by"", ""a"", ""number"", ""of"", ""names"", ""including"", "":"", ""DYNCALC"", "","", ""IXESHE"", "","", ""JOY"", ""RAT"", "","", ""APT-12"", "","", ""etc"", "".""]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 14, 26, 26, 26, 26, 26, 26, 26, 0, 1, 26, 0, 1, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 0, 26, 0, 1, 26, 0, 26, 26, 26]"
51,"[""Numbered"", ""Panda"", ""has"", ""a"", ""long"", ""list"", ""of"", ""high-profile"", ""victims"", ""and"", ""is"", ""known"", ""by"", ""a"", ""number"", ""of"", ""names"", ""including"", "":"", ""DYNCALC"", "","", ""IXESHE"", "","", ""JOY"", ""RAT"", "","", ""APT-12"", "","", ""etc"", "".""]","[0, 1, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 0, 26, 0, 1, 26, 0, 26, 26, 26]"
52,"[""The"", ""new"", ""campaigns"", ""mark"", ""the"", ""first"", ""significant"", ""stirrings"", ""from"", ""the"", ""APT12"", ""since"", ""it"", ""went"", ""silent"", ""in"", ""January"", ""in"", ""the"", ""wake"", ""of"", ""a"", ""detailed"", ""expose"", ""of"", ""the"", ""group"", ""and"", ""its"", ""exploits"", ""\u2014"", ""and"", ""a"", ""retooling"", ""of"", ""what"", ""security"", ""researchers"", ""believe"", ""is"", ""a"", ""massive"", ""spying"", ""operation"", ""based"", ""in"", ""China"", "".""]","[26, 26, 2, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 10, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 14, 26]"
53,"[""Between"", ""November"", ""26"", "","", ""2015"", "","", ""and"", ""December"", ""1"", "","", ""2015"", "","", ""known"", ""and"", ""suspected"", ""China-based"", ""APT16"", ""launched"", ""several"", ""spear"", ""phishing"", ""attacks"", ""targeting"", ""Japan"", ""and"", ""Taiwan"", ""in"", ""the"", ""high-tech"", "","", ""government"", ""services"", "","", ""media"", ""and"", ""financial"", ""services"", ""industries"", "".""]","[26, 10, 11, 11, 11, 26, 26, 10, 11, 11, 11, 26, 26, 26, 26, 14, 0, 26, 26, 2, 3, 3, 26, 14, 26, 14, 26, 26, 16, 26, 16, 17, 26, 16, 26, 16, 17, 17, 26]"
54,"[""Between"", ""November"", ""26"", "","", ""2015"", "","", ""and"", ""December"", ""1"", "","", ""2015"", "","", ""known"", ""and"", ""suspected"", ""China-based"", ""APT"", ""groups"", ""launched"", ""several"", ""spear"", ""phishing"", ""attacks"", ""targeting"", ""Japanese"", ""and"", ""Taiwanese"", ""organizations"", ""in"", ""the"", ""high-tech"", "","", ""government"", ""services"", "","", ""media"", ""and"", ""financial"", ""services"", ""industries"", "".""]","[26, 10, 11, 11, 11, 26, 26, 10, 11, 11, 11, 26, 26, 26, 26, 14, 0, 1, 26, 26, 2, 3, 3, 26, 14, 26, 14, 26, 26, 26, 16, 26, 16, 17, 26, 16, 26, 16, 17, 17, 26]"
55,"[""On"", ""November"", ""26"", "","", ""2015"", "","", ""a"", ""suspected"", ""China-based"", ""APT16"", ""sent"", ""Japanese"", ""defense"", ""policy-themed"", ""spear"", ""phishing"", ""emails"", ""to"", ""multiple"", ""Japanese"", ""financial"", ""and"", ""high-tech"", ""companies"", "".""]","[26, 10, 11, 11, 11, 26, 26, 26, 14, 0, 26, 14, 26, 26, 20, 21, 21, 26, 26, 14, 18, 26, 18, 19, 26]"
56,"[""On"", ""November"", ""26"", "","", ""2015"", "","", ""a"", ""suspected"", ""China-based"", ""APT"", ""group"", ""sent"", ""Japanese"", ""defense"", ""policy-themed"", ""spear"", ""phishing"", ""emails"", ""to"", ""multiple"", ""Japanese"", ""financial"", ""and"", ""high-tech"", ""companies"", "".""]","[26, 10, 11, 11, 11, 26, 26, 26, 14, 0, 1, 26, 14, 26, 26, 20, 21, 21, 26, 26, 14, 18, 26, 18, 19, 26]"
57,"[""While"", ""attribution"", ""of"", ""the"", ""first"", ""two"", ""spear"", ""phishing"", ""attacks"", ""is"", ""still"", ""uncertain"", "","", ""we"", ""attribute"", ""the"", ""second"", ""December"", ""phishing"", ""campaign"", ""to"", ""the"", ""China-based"", ""APT"", ""group"", ""that"", ""we"", ""refer"", ""to"", ""as"", ""APT16"", "".""]","[26, 26, 26, 26, 26, 26, 2, 3, 3, 26, 26, 26, 26, 26, 26, 26, 26, 10, 2, 3, 26, 26, 14, 0, 1, 26, 26, 26, 26, 26, 0, 26]"
